time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-04 00:00:00+00:00,10,6,30,15
2026-01-05 00:00:00+00:00,2,2,18,10
2026-01-06 00:00:00+00:00,26,13,25,12
2026-01-07 00:00:00+00:00,8,8,6,6
2026-01-08 00:00:00+00:00,8,4,38,15
2026-01-09 00:00:00+00:00,10,5,25,14
2026-01-10 00:00:00+00:00,11,6,23,13
2026-01-11 00:00:00+00:00,16,8,16,9
2026-01-12 00:00:00+00:00,20,12,20,14
2026-01-13 00:00:00+00:00,3,3,41,12
2026-01-14 00:00:00+00:00,12,8,35,19
2026-01-15 00:00:00+00:00,3,3,43,29
2026-01-16 00:00:00+00:00,9,5,34,14
2026-01-17 00:00:00+00:00,10,8,27,10
